radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,
LTE,452,5,11153,31757573,-1,1.057.814,210.022,1000,20,1,1565334924,1743678487,0
LTE,452,5,11153,31864325,-1,1.058.031,210.045,1000,6,1,1565338216,1743678487,0
UMTS,452,5,1226,8170110,153,105.695,209.953,1651,16,1,1565479515,1743678486,0
LTE,452,5,11226,31975173,-1,105.701,210.038,2915,19,1,1565479658,1743678486,0
UMTS,452,5,1226,8164170,470,1.056.661,209.843,3236,6,1,1565479814,1743678481,0
UMTS,452,5,1226,8141560,330,1.056.578,210.031,1598,50,1,1565480035,1743910927,0
UMTS,452,5,1226,8166780,395,1.056.403,209.978,1000,9,1,1565480274,1743678481,0
UMTS,452,5,1226,8140768,432,1.056.288,210.011,1879,41,1,1565480551,1743678485,0
UMTS,452,5,1226,8141300,327,1.056.035,210.073,1779,15,1,1565480740,1743678484,0
UMTS,452,5,1226,8170249,412,1.056.166,210.011,3207,10,1,1565484465,1743678485,0
UMTS,452,5,1226,8141558,314,105.678,210.044,1661,50,1,1565484769,1743910927,0
LTE,452,5,11226,31975172,-1,1.057.016,210.078,4137,16,1,1565485050,1743910928,0
LTE,452,5,11153,31947269,-1,105.734,21.01,1092,19,1,1565485330,1743678487,0
LTE,452,5,11151,31748357,-1,1.058.127,210.132,1000,2,1,1565487536,1743678488,0
LTE,452,5,11151,31775748,-1,1.058.229,210.163,1000,5,1,1565487843,1744349581,0
LTE,452,5,11151,31781637,-1,1.058.549,210.275,1000,16,1,1565489997,1703665322,0
UMTS,452,5,1164,8071564,407,1.058.238,21.161,3411,88,1,1565495338,1703764485,0
LTE,452,5,11151,31864837,-1,1.058.666,21.04,1000,5,1,1565498223,1745334376,0
LTE,452,5,11151,31864838,-1,1.058.649,210.392,1000,12,1,1565498295,1745334376,0
LTE,452,5,11151,31801606,-1,1.058.724,210.426,1000,13,1,1565498118,1745334376,0
LTE,452,5,11151,31773956,-1,1.058.566,210.349,551,29,1,1565498405,1745334376,0
LTE,452,5,11151,31957509,-1,1.058.499,210.404,1000,7,1,1565498563,1703477709,0
LTE,452,5,11151,31947781,-1,105.854,21.036,1000,9,1,1565498508,1745334376,0
